word,syllables
Юрмала,3
фикция,2
яйцерождение,5
физиологического,7
беспокоиться,4
идеализированная,7
асимметрия,4
честь,1
муравей,3
характеризующимся,7
жильё,2
нововведение,5
необыкновенная,5
рассвет,2
Евгения,3
настоящее,3
Экологические,6
ежи,2
Жанна,2
администратор,5
единовременно,6
Юля,2
труд,1
юродивый,4
ёмкий,2
закончилось,4
кость,1
мероприятия,4
Хорватия,3
гладиолусы,4
самообследование,6
сыроежка,3
железнодорожное,6
зной,1
радиоприёмник,4
ромашка,3
демилитаризованную,8
крот,1
из,1
ель,1
геометрические,5
зарядка,3
отечество,4
одуванчик,4
идолопоклонниками,8
есть,1
январь,2
федерации,4
хор,1
деревьях,3
апрельский,3
книга,2
чудесное,3
рассредоточение,6
специализированный,7
електрохымзахисту,7
Иваново,4
пушистый,3
одноклассники,5
вьюн,1
электровибрационные,7
йэ,1
семья,2
Яковлевича,5
самообладание,5
лужайка,3
бассейн,2
Произведение,4
неудовлетворительный,7
наименование,5
муравьишка,4
ласточка,3
характеризующего,7
дождь,1
неудовлетворительно,7
ребята,3
диагностируемого,6
хлобчатобумажная,6
государственную,5
фрак,1
хоть,1
конкурентноспособностью,8
благоустройство,4
тарелка,3
баллистокардиография,7
четырёхугольника,7
морковь,2
обезьяна,4
воробьи,3
электромеханический,8
фломастер,3
животноводческих,6
взгляд,1
жизнерадостность,5
Ас,1
являющимися,5
налогообложения,6
жизнеутверждающий,5
взаимопонимание,6
территориальный,5
живописное,4
здравоохранения,5
яркая,2
авиационный,4
художественная,5
характеристиками,7
высокопревосходительство,9
индивидуализировать,8
банан,2
риск,1
камнеобрабатывающий,7
огонь,2
чаепитие,3
играю,2
социалистическая,6
этаж,2
звёзды,2
туфли,2
соревнования,5
фестиваль,3
администрация,5
достопримечательностям,8
убаюкивает,4
Япония,3
единовременное,6
восточнославянская,6
головокружение,6
завтрак,2
ясновидящие,5
головокружительная,7
соединение,4
грамматика,4
руль,1
гидроэнергетические,7
жеребёнок,4
государственного,6
обществознание,5
удочка,3
жизнерадостный,5
направление,4
хруст,1
ягуар,2
рысь,1
Екатеринбургскую,6
дрозд,1
голубь,2
формирования,5
шиномонтажные,5
Евгений,3
облако,3
ненастье,3
бактерионосительство,7
трамвай,2
работоспособность,6
иней,2
идеальный,3
коммунистическая,6
сельскохозяйственного,7
ходатайство,4
некристаллизирующийся,8
ещё,2
неожиданно,4
деньки,2
аист,1
хлопотливый,4
красноармейская,4
заасфальтировать,5
бетонирование,6
игла,2
добросовестный,5
фарш,1
регистрационный,5
чистописание,5
пластилин,3
Москва,2
щавелевый,4
ферзь,1
ос,1
автовеломотогонки,8
авианавигационный,7
профориентационную,6
радиопеленгаторная,7
зарегистрировано,7
йодом,2
хозяйственный,4
шестиугольник,4
автоаннотирование,7
портфель,2
билетопечатающий,7
неспециализированных,8
искусство,3
щеткой,2
юбиляра,4
рожь,1
шарф,1
поздравляю,3
изобилия,4
общеобразовательная,7
цилиндрическая,5
лидирующие,4
местонахождение,6
смотрит,2
фонарь,2
акация,3
флюорография,4
красиваядолгое,5
единожды,4
энциклопедическое,7
шёлковая,3
благоприятствовать,5
ночь,1
безукоризненно,6
тетрадь,2
железнодорожный,6
благополучие,5
представление,4
немалозначимую,6
дупло,2
естествоиспытатель,6
ёмкостной,3
вежливость,3
зеркало,3
величественный,5
Илья,2
умиротворение,6
литературное,5
тюльпан,2
ядовитая,4
авиаметеостанция,6
Иван,2
юноша,3
декларация,4
естественный,4
компьютер,3
щекотливость,4
материаловедение,7
барабан,3
гном,1
аббревиатура,5
йод,1
хек,1
элегантные,4
лакированная,5
твой,1
регулирование,6
он,1
человеческий,5
деревьями,4
эндокринологическое,8
Эмма,2
