word,syllables
забияка,3
концентрация,4
Йокагама,4
энергосберегающий,7
сказуемое,3
кондиционер,4
коэффициентов,4
труднообрабатываемых,7
холст,1
материаловедческое,7
хозяина,3
осина,3
лингвистика,4
факел,2
равнодействующую,5
Инна,2
послеоперационные,6
юридическая,5
шумоподавление,6
жёлудь,2
пресмыкающиеся,5
третьяковская,4
высокоэнергетических,8
тёплая,2
регламентирующими,7
биотехнологического,8
комедия,3
фокус,2
фотографирующиеся,7
обслуживание,5
заинтересованность,6
одиночество,5
зубр,1
жемчужина,4
культурноисторическими,8
черносмородиновое,7
чиж,1
южноамериканец,6
Великобритания,6
гидроизолирующие,6
четырехугольнике,7
украшения,4
галстук,2
путешествие,4
шишки,2
головокружительным,7
замерзающего,5
муниципального,6
характеристическими,8
объезд,2
щиколотка,4
хореографические,6
рассказывает,4
заявление,3
Гагарина,4
деревня,3
скорая,2
Йемен,2
жизнедеятельность,5
испугала,4
воробьиное,4
администрирование,7
олимпиада,4
шарикоподшипник,6
комбинированный,6
очень,2
Ил,1
трость,1
документооборота,7
носорог,3
Америка,4
могущественный,5
ломоносовская,5
церемония,4
ультрафиолетового,7
здравствуй,2
сковорода,4
художественной,5
эксплуатационная,5
ёжился,3
Элла,2
оперуполномоченного,9
юриспруденция,5
тепломеханического,8
соловьи,3
характеризовалась,7
ай,1
ножницами,4
осень,2
размышления,4
лиловые,3
его,2
энциклопедия,5
чересполосица,6
классная,2
март,1
чудеса,3
трудолюбивый,5
фортуна,3
карандаши,4
шиповник,3
жизнеобеспечения,6
ест,1
инициатива,5
ик,1
производительности,6
хлопья,2
металлический,5
рельсы,2
окно,2
заимствованные,4
йотированный,5
варенье,3
являющихся,4
лайка,2
художественного,6
щелк,1
деревьев,3
лиственница,4
арбуз,2
воочию,2
возникновение,5
удовлетворительное,7
соответствующего,5
хозяйство,3
серебряные,4
физиологическим,6
микробиологическая,7
функционированное,6
ёлкин,2
шероховатости,6
интеллектуальный,5
хозяин,2
брат,1
шкаф,1
оружие,3
белочка,3
любознательный,5
усовершенствование,7
дифференциальные,5
многообещающая,5
заокеанский,3
Йорк,1
канализационные,6
Гастрономия,4
электроизмерительные,7
иллюзия,3
Ира,2
геополитического,7
юмористическое,6
флот,1
Щелкунчики,4
пять,1
величавый,4
эпидемиология,6
цепь,1
девочки,3
жёлтые,2
распространение,5
экология,4
контрреволюционный,6
биография,3
экономика,5
фамилия,3
ситуация,3
общеобразовательное,7
ябеда,3
четырьмястами,5
шахтостроительного,6
люк,1
блокообрабатывающий,7
царапина,4
электричка,4
самореализация,6
цвет,1
тщеславие,3
азбука,3
большая,2
белоснежная,4
распределение,5
воробьиный,4
якорь,2
воскресенье,4
красный,2
физиология,4
рационализированной,8
единообразия,5
война,2
цветочная,3
мак,1
кастрюля,3
лесообрабатывающей,7
исторический,5
жевачка,3
стихотворение,5
функциональные,4
высказывание,5
употребление,5
щупание,3
юркий,2
здание,2
завораживающая,6
характеризовать,6
однопараметрическую,8
Украина,3
школа,2
Эльф,1
цетрализованная,6
свёкла,2
апельсиновый,5
счастливый,3
биологическая,5
штабелирование,6
Обозначающие,5
физиотерапия,5
жать,1
ждать,1
удовлетворяющие,6
достопримечательность,7
иль,1
шаромоделирование,8
оранжевый,4
электродинамический,8
самопожертвование,7
территория,4
изготавливается,6
Дюймовочка,4
майский,2
заводоуправление,6
ученик,3
лекарственные,4
характеристика,6
врач,1
зелёные,3
вместе,2
документационные,6
засухоустойчивая,6
местоимение,4
орех,2
единовременный,6
млекопитающие,5
шелестит,3
завораживающее,6
шиномонтаж,4
машина,3
гидроэлектростанциями,7
ежеквартально,5
часовой,3
дорожки,3
неотремонтированных,7
