word,syllables
йоги,2
сфотографировать,6
разрастающиеся,5
высокотехнологичного,9
хлеб,1
астр,1
переформатирование,8
теплопроизводительность,7
машиностроительная,6
фармакокенетика,7
автотехобслуживание,8
матрёшка,3
усовершенствованиями,8
весенний,3
базирующуюся,5
оплачиваемый,5
волк,1
четырнадцатое,5
альбом,2
деньги,2
одиннадцатое,5
доброжелательный,6
правоохранительная,6
жужжание,3
великолепие,5
мышь,1
языковая,4
доброжелательность,6
Ям,1
ам,1
империалистические,7
разноцветные,4
глообализационными,7
осенние,3
программирование,6
центральная,3
четырехлепестковые,7
пенал,2
жук,1
целоваться,4
юбилейное,4
тихоокеанского,5
Яна,2
праздник,2
этноконфессиональных,7
телефон,3
гусеница,4
Юлианович,4
эксплуатации,4
лев,1
кардиореспираторной,7
фитопалеонтология,7
барражирование,6
полиэтиленовая,6
электробезопасность,7
величественные,5
железнодорожная,6
человеконенавистник,8
трактор,2
тихоокеанский,4
ночник,2
горнодобывающая,6
пляж,1
широкоугольный,5
звукозаписывающее,7
извините,4
эмоциональный,5
специализированные,7
коллекционирование,7
целлюлоза,4
шторм,1
целеустремленный,5
происхождение,4
зелёная,3
теоретический,5
единичный,4
яишница,3
забастовка,4
предполагает,4
программа,3
шахматы,3
словообразование,6
актёр,2
ёжик,2
психоневрологическая,8
ёжики,3
Ирина,3
предаттестационная,6
муж,1
карбокксиметилцеллюлоза,9
разнообразие,4
як,1
яблонька,3
аэроплан,3
лось,1
главнокомандующего,7
шизофрении,4
финансирование,6
движение,3
удивительные,5
скамейка,3
единственного,5
ёлочка,3
ежевика,4
документационного,7
медведь,2
идеализированному,8
шестнадцатое,4
горькая,2
щипцы,2
явление,3
щуплый,2
электрический,5
ива,2
зелёный,3
холодная,3
метеорологические,7
реабилитационный,6
дружба,2
трудоустройство,4
серебро,3
совершенствование,6
хорошая,3
авиация,3
растения,3
бабушка,3
действительно,4
автомобиль,4
электрификация,6
Тверь,1
азотофиксирующий,7
шишка,2
щётка,2
быстро,2
шантажировать,5
дисквалифицировали,8
называется,4
жил,1
экспресс,2
метро,2
животноводство,5
конструирование,5
Эдик,2
дифференцированная,7
сочинение,4
ералаш,3
апельсин,3
молоко,3
противоположные,6
реабилитационные,6
логопедической,6
ручьи,2
имена,3
квалификационная,6
ульи,2
хвост,1
ёсць,1
Антон,2
ум,1
щелочение,4
единственная,4
телерадиокомпания,7
фантастика,4
эмоциональная,5
йеменцу,3
зоопарк,2
янтарная,3
материальное,4
акула,3
ерунда,3
электрообеспечение,7
биологический,5
поэзия,2
ядовитую,4
теплоизоляционные,6
финал,2
традиция,3
декабрь,2
Арс,1
общеобразовательную,7
шестьюдесятью,5
температура,5
холодный,3
шампиньоны,4
разъезд,2
танк,1
цветы,2
разочарование,6
украинский,3
наряд,2
учительница,5
юные,2
металлообнаружитель,7
листочками,4
их,1
дифференцированы,7
конкурентоспособность,7
подосиновик,5
уж,1
вышеперечисленные,7
насекомые,4
микросхема,4
квалификационные,6
эксперт,2
фигурирующих,5
подъезд,2
настоящая,3
гидроэлектростанцией,6
усовершенствованию,7
вышепоставленным,6
несанкционированного,8
раскрасила,4
циркуляцией,4
зонт,1
радио,2
белоснежный,4
авиастроительство,5
естественнонаучный,6
оборачиваемости,7
несовершеннолетним,7
листва,2
термодинамического,8
шиномонтажное,5
визуализация,5
неопределенный,5
землетрясение,5
Германия,3
гидроманипуляторами,9
флокс,1
товаробраковочного,8
чтение,2
обеспечивающие,6
индустриальный,4
позиционирование,7
мать,1
його,2
коллекция,3
радость,2
кондиционирования,7
жизнь,1
барс,1
цветочную,3
нефть,1
ирис,2
геологические,5
инструктируемого,6
глобализируещееся,7
щит,1
оборудование,6
им,1
